TotalDyeingAmount_t-11,TotalPackingAmaount_t-11,YarnConsumptionPerKgGas_t-11,TotalDyeingAmount_t-10,TotalPackingAmaount_t-10,YarnConsumptionPerKgGas_t-10,TotalDyeingAmount_t-9,TotalPackingAmaount_t-9,YarnConsumptionPerKgGas_t-9,TotalDyeingAmount_t-8,TotalPackingAmaount_t-8,YarnConsumptionPerKgGas_t-8,TotalDyeingAmount_t-7,TotalPackingAmaount_t-7,YarnConsumptionPerKgGas_t-7,TotalDyeingAmount_t-6,TotalPackingAmaount_t-6,YarnConsumptionPerKgGas_t-6,TotalDyeingAmount_t-5,TotalPackingAmaount_t-5,YarnConsumptionPerKgGas_t-5,TotalDyeingAmount_t-4,TotalPackingAmaount_t-4,YarnConsumptionPerKgGas_t-4,TotalDyeingAmount_t-3,TotalPackingAmaount_t-3,YarnConsumptionPerKgGas_t-3,TotalDyeingAmount_t-2,TotalPackingAmaount_t-2,YarnConsumptionPerKgGas_t-2,TotalDyeingAmount_t-1,TotalPackingAmaount_t-1,YarnConsumptionPerKgGas_t-1,TotalDyeingAmount_t-0,TotalPackingAmaount_t-0,YarnConsumptionPerKgGas_t-0
294359.0,297995.0,0.523615087842362,342911.0,366334.0,0.5354069314208076,346033.0,355922.0,0.5498307661543266,308939.0,336318.0,0.5585614501147281,312944.0,374185.0,0.5007224413410674,291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837
342911.0,366334.0,0.5354069314208076,346033.0,355922.0,0.5498307661543266,308939.0,336318.0,0.5585614501147281,312944.0,374185.0,0.5007224413410674,291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994
346033.0,355922.0,0.5498307661543266,308939.0,336318.0,0.5585614501147281,312944.0,374185.0,0.5007224413410674,291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899
308939.0,336318.0,0.5585614501147281,312944.0,374185.0,0.5007224413410674,291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548
312944.0,374185.0,0.5007224413410674,291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096
291959.0,321200.0,0.470805771603632,270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637
270270.0,290690.0,0.5016208883510053,236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935
236463.0,249571.0,0.4570763123617342,233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273
233742.0,250841.0,0.4462719915693956,245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086
245016.0,266502.0,0.4641913809172838,278036.0,293592.0,0.4551828430024746,267083.0,288011.0,0.4844241892888837,276328.0,305084.0,0.5116915566155994,286456.0,315993.0,0.5049916209206899,331917.0,359248.0,0.4280921180230548,275783.0,308615.0,0.4537357810373096,328685.0,369432.0,0.4606544227357637,337281.0,384121.0,0.4069680956869935,343952.0,360929.0,0.3751795254210273,278725.0,297162.0,0.3770847128244086,293815.0,344962.0,0.3273980435913354
