W-Water
38096.0
36315.0
36024.0
32467.0
34215.0
26289.0
25565.0
28335.0
31631.0
33007.0
27017.0
29110.0
28106.0
25817.0
25595.0
28482.0
31115.0
22553.0
19544.0
22548.0
22621.0
20016.0
25552.0
23236.0
21325.0
20381.0
21316.0
19796.0
22023.0
21834.0
21471.0
24154.0
29101.0
28726.0
29336.0
28740.0
26173.0
17016.0
18236.0
19071.0
22027.0
21301.0
18594.0
20622.0
20197.0
21150.0
19648.0
18840.0
16744.0
18653.0
17623.0
17623.0
21094.0
20311.0
15795.0
16397.0
15021.0
21436.0
20625.0
18840.0
15041.0
18594.0
23170.0
16930.0
20144.0
19247.0
19713.0
20150.0
21230.0
24886.0
24706.0
21795.0
21426.0
20357.0
20920.0
21428.0
22763.0
19974.0
23929.0
16355.0
19281.0
21236.0
17680.0
13255.0
10222.0
14106.0
20022.0
14628.0
17912.0
11724.0
15618.0
12349.0
12507.0
12787.0
12366.0
14293.0
20117.0
21060.0
16427.0
13110.0
11694.0
30050.0
21469.0
20932.0
22636.0
24614.0
19898.0
21429.0
21980.0
22988.0
26147.0
24104.0
21535.0
25706.0
22891.0
23459.0
23629.0
23730.0
25408.0
25951.0
18156.0
17073.0
22991.0
22165.0
21443.0
22240.0
19849.0
20331.0
21180.0
20983.0
17254.0
20039.0
