model,type,training_time_s,inference_time_s
ARIMA,Statistical,1.133,<0.001
InceptionTime,Deep learning,96.893,0.450
LSTM-FCN,Deep learning,69.256,0.247
Naive,Statistical,<0.001,<0.001
Random Forest,ML ensemble,0.105,<0.001
ROCKET,Kernel DL (no GPU),15.389,0.217
SARIMA,Statistical,1.205,<0.001
Seasonal Naive,Statistical,<0.001,<0.001
XGBoost,ML ensemble,0.020,<0.001
